,ZONA_O,ZONA_D,FE_VIA
439,Canindé,Belenzinho,8
440,Carandiru,Santa Cruz,8
441,Bom Retiro,Bom Jardim,8
442,Carandiru,Bela Vista,8
443,Jardim Japão,Bom Jardim,8
444,Vila São José,Canindé,8
445,Bela Vista,Tietê,8
446,Carandiru,Tatuapé,8
447,Carandiru,Sé,8
448,Lapa,Carandiru,8
449,João Teodoro,Santa Terezinha,9
450,João Teodoro,Rudge,9
451,Penha,Gavião Peixoto,9
452,Saúde,João Teodoro,9
453,Parque Novo Mundo,João Teodoro,9
454,Vila Ipojuca,Oriente,9
455,CEASA,Gavião Peixoto,9
456,Praça João Mendes,Pacaembu,9
457,João Teodoro,Bandeirantes,9
458,Paraíso,Bom Jardim,9
459,Vila Jaguara,Vila Ipojuca,9
460,Treze de Maio,Gavião Peixoto,9
461,Itaberaba,Gavião Peixoto,9
462,Rudge,João Teodoro,9
463,Butantã,Pacaembu,9
464,João Teodoro,Jardim Paulistano,9
465,Luz,Gavião Peixoto,9
466,Parada Inglesa,Pacaembu,9
467,Trianon,Bom Jardim,9
468,João Teodoro,Moema,9
469,Jardim Paulistano,João Teodoro,9
470,Vila Nova Conceição,Gavião Peixoto,9
471,Parada de Taipas,Gavião Peixoto,9
472,Independência,Gavião Peixoto,9
473,Santa Marina,Cambuci,9
474,João Teodoro,Parque Novo Mundo,9
475,Moóca,Gavião Peixoto,9
476,Sumaré,Gavião Peixoto,9
477,Vila Anglo Brasileira,Pacaembu,9
478,Pacaembu,Praça João Mendes,9
479,Gavião Peixoto,Vila Buarque,9
480,Pacaembu,Granja Julieta,9
481,Gavião Peixoto,CEASA,9
482,Gavião Peixoto,Vila Cordeiro,9
483,Bom Jardim,Paraíso,9
484,Gavião Peixoto,Vila Nova Conceição,9
485,Gavião Peixoto,Treze de Maio,9
486,Santa Terezinha,João Teodoro,9
487,Santa Ifigênia,Cardoso de Almeida,9
488,Fazenda Morumbi,Gavião Peixoto,9
489,Gavião Peixoto,Mirandópolis,9
490,Oriente,Rudge,9
491,Gavião Peixoto,Belenzinho,9
492,Gavião Peixoto,Bela Vista,9
493,Pacaembu,Brooklin,9
494,Vila Cordeiro,Gavião Peixoto,9
495,Chácara Flora,Santa Marina,9
496,Gavião Peixoto,Granja Julieta,9
497,Gavião Peixoto,Jurubatuba,9
498,Jardim Europa,Gavião Peixoto,9
499,Gavião Peixoto,Jardins,9
500,Vila Buarque,Santa Marina,9
501,Bosque da Saúde,Gavião Peixoto,9
502,Pinheiros,Gavião Peixoto,9
503,Santa Marina,Águia de Haia,9
504,Gavião Peixoto,Jardim Europa,9
505,João Teodoro,Saúde,9
506,Gavião Peixoto,Pacaembu,9
507,Gavião Peixoto,Parada de Taipas,9
508,Gavião Peixoto,Independência,9
509,Santa Cruz,Pacaembu,9
510,Gavião Peixoto,Pinheiros,9
511,Gavião Peixoto,Moóca,9
512,Pacaembu,Butantã,9
513,Bom Jardim,Trianon,9
514,Jardins,Gavião Peixoto,9
515,Parque Anhembi,Pacaembu,9
516,FAAP,Gavião Peixoto,9
517,Granja Julieta,Jardim Luzitânia,9
518,Granja Julieta,Gavião Peixoto,9
519,Jurubatuba,Gavião Peixoto,9
520,Pacaembu,Perdizes,9
521,Rudge,Gavião Peixoto,9
522,Oriente,Jardim Luzitânia,9
523,Pacaembu,Parque Anhembi,9
524,Vila Buarque,Jardim Luzitânia,9
525,Pacaembu,Parada Inglesa,9
526,Jaguaré,Pacaembu,9
527,Belenzinho,Gavião Peixoto,9
528,Pacaembu,França Pinto,9
529,Cambuci,Santa Marina,9
530,Pacaembu,Moema,9
531,Jardim Caxingui,Gavião Peixoto,9
532,Jardim Luzitânia,Luz,9
533,Jardim Luzitânia,Marechal Deodoro,9
534,Bandeirantes,João Teodoro,9
535,Vila Buarque,Gavião Peixoto,9
536,Jardim Luzitânia,Trianon,9
537,Lapa,Penha,9
538,Cardoso de Almeida,Santa Cruz,10
539,CEASA,Tietê,10
540,Barra Funda,Liberdade,10
541,Moema,Gavião Peixoto,10
542,Água Branca,Parque Dom Pedro,10
543,Gasômetro,Emissário,10
544,CEASA,Gomes Cardim,10
545,Santo Amaro,Gavião Peixoto,10
546,Jardim Brasil,Bom Jardim,10
547,Parque Dom Pedro,Emissário,10
548,CEASA,PUC,10
549,Praça João Mendes,Água Branca,10
550,Cardoso de Almeida,Planalto Paulista,10
551,Campinas,Carandiru,10
552,Cardoso de Almeida,Orfanato,10
553,Água Branca,Alto da Moóca,10
554,Água Branca,Praça João Mendes,10
555,França Pinto,Real Parque,10
556,Barra Funda,Parque Dom Pedro,10
557,Tatuapé,Alto de Pinheiros,10
558,CEASA,Santa Cruz,10
559,Campinas,Bom Jardim,10
560,Alto de Pinheiros,Moóca,10
561,Emissário,Centro Cultural,10
562,Parque Dom Pedro,Barra Funda,10
563,Alto de Pinheiros,Tatuapé,10
564,Emissário,Parque Dom Pedro,10
565,Carandiru,Cidade A.E.Carvalho,10
566,Bom Jardim,Chácara Itaim,10
567,Rodrigues Alves,Gavião Peixoto,10
568,Bom Jardim,Campinas,10
569,Jardim Luzitânia,Liberdade,10
570,Alto da Moóca,Água Branca,10
571,Pires da Mota,Perdizes,10
572,Rio Pequeno,Carandiru,10
573,Gomes Cardim,CEASA,10
574,Parque Ibirapuera,Gavião Peixoto,10
575,Vila Anglo Brasileira,Gavião Peixoto,10
576,Santa Ifigênia,Gavião Peixoto,10
577,Bela Aliança,Moema,10
578,Parque Dom Pedro,Água Branca,10
579,Jurubatuba,Carandiru,10
580,Belém,Emissário,10
581,Vila Matilde,Carandiru,10
582,Vila Clementino,Carandiru,10
583,Bom Jardim,Jardim Brasil,10
584,Orfanato,Cardoso de Almeida,10
585,Nova Jaraguá,Gavião Peixoto,10
586,Gavião Peixoto,Moema,10
587,Carandiru,Água Branca,10
588,Carandiru,Vila Matilde,10
589,Bexiga,CEASA,10
590,Emissário,Belém,10
591,Ponte Pequena,Água Branca,10
592,Gavião Peixoto,Nova Jaraguá,10
593,Vila Socorro,Gavião Peixoto,10
594,Carandiru,Vila Clementino,10
595,Gavião Peixoto,Parque Ibirapuera,10
596,Jóquei Clube,Santa Ifigênia,10
597,Gavião Peixoto,Rodrigues Alves,10
598,Emissário,Gasômetro,10
599,Água Branca,Ponte Pequena,10
600,Gavião Peixoto,Santo Amaro,10
601,Água Branca,Pires da Mota,10
602,Carandiru,Santa Marina,10
603,Carandiru,Rio Pequeno,10
604,Moema,Bom Jardim,11
605,Pari,Parque Ibirapuera,11
606,Planalto Paulista,Alto de Pinheiros,11
607,Zequinha de Abreu,Tietê,11
608,Jardins,Carandiru,11
609,Marsilac,Carandiru,11
610,Zequinha de Abreu,Chácara do Piqueri,11
611,Chácara do Piqueri,Zequinha de Abreu,11
612,Vila Suzana,Cardoso de Almeida,11
613,Carandiru,Água Rasa,11
614,Chácara do Piqueri,Bom Jardim,11
615,Cardoso de Almeida,Independência,11
616,Pinheiros,Oriente,11
617,Bom Jardim,Vila Miranda,11
618,Cardoso de Almeida,Rudge,11
619,Cardoso de Almeida,Santa Ifigênia,11
620,Cardoso de Almeida,Tucuruvi,11
621,Bom Jardim,Moema,11
622,Vila Miranda,Bom Jardim,11
623,Perus,Vila Guilherme,11
624,Bom Jardim,Jardim Luzitânia,11
625,Bom Jardim,Granja Julieta,11
626,Bom Jardim,Chácara do Piqueri,11
627,Cardoso de Almeida,Vila Suzana,11
628,Granja Julieta,Bom Jardim,11
629,Liberdade,Zequinha de Abreu,11
630,Parque Dom Pedro,Alto de Pinheiros,11
631,Berrini,Água Branca,11
632,Independência,Cardoso de Almeida,11
633,Tucuruvi,Cardoso de Almeida,11
634,Trianon,Jardim Luzitânia,11
635,Água Rasa,Carandiru,11
636,Carandiru,Oscar Freire,11
637,Santa Cecília,Vila Madalena,11
638,Jardim Luzitânia,Bom Jardim,11
639,Oscar Freire,Carandiru,11
640,Zequinha de Abreu,Liberdade,11
641,Carandiru,Marsilac,11
642,Alto de Pinheiros,Cardoso de Almeida,11
643,Oriente,Pinheiros,11
644,Alto de Pinheiros,Planalto Paulista,11
645,Santa Ifigênia,Jóquei Clube,11
646,Parque Ibirapuera,Bom Jardim,11
647,Carandiru,Bandeirantes,11
648,Vila Guilherme,Perus,11
649,Santa Marina,Santa Ifigênia,12
650,Rudge,Jabaquara,12
651,Clínicas,Bom Jardim,12
652,Campinas,Água Branca,12
653,Mirandópolis,Real Parque,12
654,Moema,Bela Aliança,12
655,Água Branca,Jardim Vitória Régia,12
656,Parque Anhembi,Água Branca,12
657,Santa Marina,Berrini,12
658,Zequinha de Abreu,Vila Curuçá,12
659,Catumbi,Rodrigues Alves,12
660,Parque Dom Pedro,Pamplona,12
661,Clínicas,Emissário,12
662,Santa Marina,Cidade Universitária,12
663,Luz,Jardim Luzitânia,12
664,Água Branca,Parque Anhembi,12
665,Casa Verde Alta,Emissário,12
666,Ponte Pequena,Bom Jardim,12
667,Luz,Vila Leopoldina,12
668,Santa Ifigênia,Vila Miranda,12
669,Cidade Universitária,Santa Marina,12
670,Rodrigues Alves,Catumbi,12
671,Anchieta,Real Parque,12
672,Jardins,Jurubatuba,12
673,Planalto Paulista,Real Parque,12
674,Cardoso de Almeida,Chácara do Piqueri,12
675,Cardoso de Almeida,Itaquera,12
676,Marsilac,Água Branca,12
677,Cardoso de Almeida,João Teodoro,12
678,Água Branca,Jardim Bonfiglioli,12
679,Santa Marina,Jardim Paulistano,12
680,Lapa,Marsilac,12
681,Rodrigues Alves,Cardoso de Almeida,12
682,Cardoso de Almeida,Moóca,12
683,Campo Belo,Santa Ifigênia,12
684,Água Branca,Oscar Freire,12
685,Jurubatuba,CEASA,12
686,Santa Ifigênia,Perdizes,12
687,Cardoso de Almeida,São Miguel Paulista,12
688,Cidade Vargas,Real Parque,12
689,Campo Belo,Pirituba,12
690,Parque Ibirapuera,Emissário,12
691,Carandiru,Francisco Matarazzo,12
692,Carandiru,Consolação,12
693,Santa Cecília,Real Parque,12
694,Vila Curuçá,Zequinha de Abreu,12
695,Água Branca,Tucuruvi,12
696,Água Branca,Vila Ipojuca,12
697,Emissário,Casa Verde Alta,12
698,São Carlos do Pinhal,Real Parque,12
699,Real Parque,Planalto Paulista,12
700,Raposo Tavares,Real Parque,12
701,Água Branca,Vila Beatriz,12
702,CEASA,Jurubatuba,12
703,França Pinto,Pacaembu,12
704,Real Parque,Parque Novo Mundo,12
705,CEASA,Guarapiranga,12
706,Vila Clementino,Emissário,12
707,Bela Aliança,Água Branca,12
