,id_radar,n_acidentes100,n_acidentes250,n_acidentes500,n_acidentes1000,n_acidentes2000
578,865,0.0,0.0,3.0,3.0,12
579,866,0.0,0.0,1.0,3.0,14
580,868,0.0,0.0,1.0,7.0,13
581,870,0.0,0.0,1.0,3.0,15
582,871,0.0,0.0,1.0,3.0,16
583,872,0.0,0.0,1.0,5.0,17
584,879,0.0,0.0,1.0,3.0,11
585,880,0.0,0.0,1.0,3.0,11
586,882,0.0,0.0,1.0,3.0,10
587,883,0.0,0.0,3.0,6.0,17
588,884,0.0,0.0,3.0,6.0,17
589,886,0.0,0.0,1.0,3.0,11
590,888,0.0,0.0,2.0,3.0,18
591,894,0.0,0.0,1.0,2.0,10
592,895,0.0,0.0,1.0,2.0,10
593,903,0.0,0.0,1.0,4.0,17
594,904,0.0,0.0,1.0,4.0,17
595,5,0.0,0.0,0.0,9.0,23
596,6,0.0,0.0,0.0,3.0,14
597,7,0.0,0.0,0.0,1.0,15
598,8,0.0,0.0,0.0,1.0,16
599,10,0.0,0.0,0.0,3.0,20
600,11,0.0,0.0,0.0,3.0,19
601,12,0.0,0.0,0.0,8.0,22
602,16,0.0,0.0,0.0,2.0,9
603,17,0.0,0.0,0.0,2.0,10
604,20,0.0,0.0,0.0,3.0,16
605,21,0.0,0.0,0.0,3.0,17
606,23,0.0,0.0,0.0,3.0,9
607,24,0.0,0.0,0.0,2.0,8
608,30,0.0,0.0,0.0,4.0,17
609,41,0.0,0.0,0.0,2.0,10
610,42,0.0,0.0,0.0,1.0,11
611,43,0.0,0.0,0.0,1.0,11
612,44,0.0,0.0,0.0,3.0,19
613,45,0.0,0.0,0.0,6.0,16
614,58,0.0,0.0,0.0,6.0,16
615,59,0.0,0.0,0.0,6.0,16
616,62,0.0,0.0,0.0,4.0,13
617,64,0.0,0.0,0.0,2.0,14
618,65,0.0,0.0,0.0,2.0,13
619,66,0.0,0.0,0.0,1.0,14
620,67,0.0,0.0,0.0,2.0,9
621,68,0.0,0.0,0.0,2.0,9
622,69,0.0,0.0,0.0,3.0,6
