,id_acidente,latitude,longitude,endereco1,endereco2,data,cod_acid,tipo_acid,feridas,mortas,automovel,caminhonete,carreta,jipe,bicicleta,moto,moto_taxi,micro_onibus,onibus,onibus_urbano,onibus_fretado,caminhao,van,vuc,outros,carroca,sem_informacao
22575,D021601440,-23.538729999999997,-46.53175,RUA CEL PEDRO DIAS DE CAMPOS,nan,2016-02-15 18:00:00,2,Colisao,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
22576,D021601441,-23.594079999999998,-46.422509999999996,AV RAGUEB CHOHFI,nan,2016-02-13 11:40:00,2,Sem Informacao,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
22577,D021601442,-23.505,-46.59165,AV ALBERTO BYINGTON,nan,2016-02-22 11:52:00,4,Atropelamento,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22578,D021601443,-23.66388,-46.684509999999996,AV SARG GERALDO SANT'ANA,nan,2016-02-10 20:00:00,2,Colisao,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
22579,D021601444,-23.61821,-46.7321,AV GIOVANNI GRONCHI,nan,2016-02-21 20:00:00,2,Colisao,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
22580,D021601445,-23.52946,-46.63431,RUA TRES RIOS,nan,2016-02-04 10:00:00,2,Colisao frontal,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
22581,D021601446,-23.50834,-46.53682,AV CANGAIBA,nan,2016-02-25 19:45:00,2,Colisao,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
22582,D021601447,-23.61877,-46.601659999999995,VIA ANCHIETA,nan,2016-02-26 06:58:00,2,Colisao,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
22583,D021601448,-23.51228,-46.42752,AV NORDESTINA,nan,2016-02-28 21:21:00,4,Atropelamento,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22584,D021601449,-23.66261,-46.70669,RUA GALENO DE CASTRO,nan,2016-02-20 11:35:00,2,Colisao,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
22585,D021601450,-23.51784,-46.42355,RUA ANANAI,nan,2016-02-19 22:20:00,4,Atropelamento,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22586,D021601451,-23.51502,-46.65442,AV OTAVIANO ALVES DE LIMA,nan,2016-02-01 19:00:00,2,Colisao,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
22587,D021601452,-23.58505,-46.74669,VIA RAPOSO TAVARES,nan,2016-02-03 12:00:00,2,Colisao,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
22588,D021601453,-23.5322,-46.61136,RUA JOAO BOEMER,RUA STA RITA,2016-02-29 18:16:00,2,Colisao lateral,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
22589,D021601454,-23.57461,-46.65596,AV BRIG LUIS ANTONIO,nan,2016-02-17 15:13:00,4,Atropelamento,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
22590,D021601455,-23.53428,-46.53324,AV MARCONDES DE BRITO,AV MELCHERT,2016-02-16 13:30:00,2,Colisao,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
22591,D021601456,-23.71402,-46.65076,RUA INDEPENDENCIA,nan,2016-02-28 12:50:00,2,Colisao traseira,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
